,AB2-1,AB2-2,AB2-3,AB2-4,AB2-5,AB2-6,AB2-7,AB2-8,AB2-9,AB2-10,AB2-11,AB2-12,AB2-13,AB2-14,AB2-15,AF2-1,AF2-2,AF2-3,AF2-4,AF2-5,AF2-6,AF2-7,AF2-8,AF2-9,AF2-10,AF2-11,AF2-12,AF2-13,AF2-14,AF2-15,AI2-1,AI2-2,AI2-3,AI2-4,AI2-5,AI2-6,AI2-7,AI2-8,AI2-9,AI2-10,AI2-11,AI2-12,AI2-13,AI2-14,AI2-15,AL2-1,AL2-2,AL2-3,AL2-4,AL2-5,AL2-6,AL2-7,AL2-8,AL2-9,AL2-10,AL2-11,AL2-12,AL2-13,AL2-14,AL2-15
AI2-6,99.52659928,98.71483594,99.87696647,99.75901292,96.55885703,99.83476989,99.40405964,99.46788009,99.511295,99.84777717,99.69515476,99.80781479,99.80766308,99.85407035,99.81206938,99.90664327,99.92550282,99.63441796,99.92550532,99.91224576,99.81117545,99.2890748,99.82312111,99.84086047,99.59904064,99.79512139,99.46395958,99.81719479,99.5439948,99.90416535,99.85908562,99.87715475,96.08717199,99.86992472,99.89531725,,,,,,,,,,,,,,,,,,,,,,,,,
AI2-7,99.75402051,99.08717902,99.91992208,99.93966584,97.24005879,99.94082619,99.63662458,99.72274575,99.74733246,99.84181435,99.87775449,99.93313934,99.89766069,99.94765331,99.92096842,99.93138192,99.72041471,99.48197415,99.88996651,99.94785927,99.9142957,99.28384082,99.71846206,99.65603871,99.23812115,99.86947275,99.68971851,99.75940711,99.65158043,99.94535102,99.91374036,99.95532523,96.72091633,99.85715757,99.97121997,99.85670891,,,,,,,,,,,,,,,,,,,,,,,,
AI2-8,99.66902472,98.90853319,99.90539035,99.83373786,96.87597234,99.88746656,99.54461495,99.62574006,99.63392426,99.88186846,99.81523679,99.85979212,99.8855136,99.89707851,99.88160563,99.93699828,99.86275199,99.621547,99.93050478,99.94390843,99.86613128,99.304056,99.82048249,99.81711145,99.5001956,99.83338512,99.57352575,99.82483915,99.63132721,99.95478406,99.88799548,99.94604403,96.42801451,99.91614465,99.95137321,99.96263623,99.91931278,,,,,,,,,,,,,,,,,,,,,,,
AI2-9,99.8319347,99.24154333,99.90206678,99.94047101,97.49922034,99.93254696,99.70672849,99.81448584,99.79532781,99.83318405,99.92357078,99.91756141,99.90617979,99.92032876,99.9303036,99.89478667,99.61163661,99.42037361,99.83689938,99.91877748,99.90032382,99.23004742,99.65057035,99.56308823,99.11498207,99.87195679,99.73220714,99.67933083,99.6344616,99.91722543,99.87530218,99.95310049,96.9184962,99.86120166,99.95379915,99.79128404,99.96958409,99.88881353,,,,,,,,,,,,,,,,,,,,,,
AI2-10,99.50087195,98.75049061,99.85061725,99.73376459,96.5671849,99.79595142,99.37960377,99.44480714,99.47943867,99.86504636,99.69116235,99.76778209,99.79895135,99.82508609,99.78751138,99.87144306,99.89020042,99.57667017,99.88796528,99.8830261,99.76443456,99.27969949,99.85927164,99.87653286,99.62184981,99.75809324,99.40025738,99.78044083,99.50400174,99.88821325,99.82599716,99.85517361,96.15504107,99.85866677,99.87631515,99.96590761,99.84727196,99.96214102,99.78760063,,,,,,,,,,,,,,,,,,,,,
AI2-11,99.3145653,98.78089855,99.72536398,99.65686293,96.38227979,99.71872711,99.08546847,99.26102549,99.24123709,99.9361202,99.53990081,99.62892554,99.57992678,99.67745717,99.63382219,99.72530446,99.67058117,99.20070368,99.66026215,99.78162975,99.58313858,99.1347788,99.80879739,99.72432667,99.55090568,99.85048859,99.15478209,99.43193984,99.09898843,99.70409024,99.64730484,99.69831148,96.03939952,99.76703857,99.757231,99.79394884,99.72152665,99.78023613,99.69600573,99.80083821,,,,,,,,,,,,,,,,,,,,
AI2-12,99.66680277,98.91485539,99.91005837,99.88110927,97.22488141,99.87773678,99.53737182,99.63778414,99.65148849,99.69338165,99.76874099,99.89971172,99.76867106,99.85604005,99.87248691,99.80886666,99.59428262,99.23301221,99.80269547,99.84705171,99.86444001,99.26779453,99.43652917,99.37422926,98.97515853,99.87290023,99.70503484,99.55624789,99.4045824,99.79856075,99.84800992,99.82202892,96.159627,99.78892591,99.81050588,99.72498432,99.80044341,99.74533094,99.801517,99.65959242,99.67169738,,,,,,,,,,,,,,,,,,,
AI2-13,99.65075502,98.84387706,99.909302,99.90290128,97.02864534,99.91133996,99.52865755,99.61097293,99.66001793,99.74314375,99.77571637,99.91313375,99.80320314,99.91901045,99.87399076,99.91121174,99.73357529,99.41765017,99.88205577,99.91450693,99.89241494,99.3379212,99.60172201,99.54811303,99.19501452,99.89233703,99.68613894,99.69618394,99.5225947,99.85492997,99.90723431,99.86345946,96.12471038,99.83080373,99.88289646,99.80460576,99.86111856,99.81976131,99.82905848,99.74971926,99.70532546,99.90098667,,,,,,,,,,,,,,,,,,
AI2-14,99.6696048,98.86485613,99.9009334,99.90732832,97.18558096,99.89096339,99.54463324,99.64674506,99.6692067,99.67573105,99.77420947,99.9257469,99.77516019,99.880434,99.87127831,99.83349274,99.60809334,99.2754725,99.8153911,99.86271156,99.89013388,99.29271684,99.44971798,99.38636408,98.96504406,99.87149734,99.73058242,99.59826861,99.45495449,99.81234918,99.87149823,99.838421,96.07913567,99.79738634,99.8280667,99.72401526,99.81775423,99.75275249,99.80530992,99.65543228,99.63952936,99.96033179,99.9318437,,,,,,,,,,,,,,,,,
AI2-15,99.73123796,98.95978362,99.89059195,99.91180047,97.30123216,99.91240738,99.60350488,99.7156271,99.73045263,99.69624262,99.82288637,99.91619138,99.8031847,99.88606307,99.87998143,99.86005748,99.58068245,99.31605146,99.81740184,99.89139095,99.90036139,99.30228472,99.46885781,99.37566431,98.93205771,99.90312931,99.76787103,99.60559144,99.51224338,99.8274934,99.86530756,99.85103767,96.35555651,99.81752691,99.85354498,99.71372391,99.85083571,99.76639624,99.85628407,99.65764499,99.64187251,99.93612113,99.94436475,99.95299067,,,,,,,,,,,,,,,,
AL2-1,99.48215363,98.48682553,99.7910263,99.74820162,96.61605702,99.80804117,99.39395484,99.41860592,99.52407504,99.56926924,99.62058972,99.82359488,99.72223994,99.85078359,99.72971598,99.86003002,99.83629224,99.51440517,99.88892035,99.84058379,99.83556301,99.29672309,99.55839147,99.57156231,99.27242303,99.70117766,99.59053911,99.82457129,99.58177962,99.80907603,99.86831021,99.76975712,95.77122496,99.73247613,99.79368406,99.80396863,99.74566824,99.77186987,99.64912687,99.7248614,99.50971721,99.75291555,99.87521237,99.82495967,99.78759925,,,,,,,,,,,,,,,
AL2-2,99.61431111,98.7281024,99.87164185,99.84224185,96.97942424,99.8709408,99.52799034,99.56603081,99.63513385,99.65203828,99.72266129,99.89507305,99.80436555,99.89250873,99.83356608,99.87981115,99.80770665,99.48069989,99.91122551,99.87836687,99.89967021,99.28308216,99.53898913,99.56773267,99.24548503,99.79857745,99.68518126,99.78138937,99.59035376,99.84728904,99.92020072,99.82904187,96.05429591,99.80150473,99.83458232,99.82372388,99.79807192,99.81317428,99.74216647,99.76005432,99.63573595,99.88258218,99.91603755,99.90028604,99.87170819,99.91830896,,,,,,,,,,,,,,
AL2-3,99.39833709,98.66211254,99.82076735,99.73631804,96.38307681,99.78904891,99.23672304,99.338605,99.398078,99.8806523,99.60157424,99.75584623,99.68977284,99.78761372,99.72187184,99.85759419,99.83241006,99.44082048,99.82712998,99.88830686,99.71959246,99.26786725,99.81925459,99.74865133,99.54633754,99.84309205,99.33711,99.66210009,99.34899996,99.82997483,99.77590194,99.79399205,95.89771429,99.81911993,99.85033326,99.90379876,99.82150239,99.87392307,99.75599623,99.88521588,99.87759957,99.7483509,99.8053231,99.73175398,99.7239717,99.7255667,99.77425697,,,,,,,,,,,,,
AL2-4,99.12340953,98.36839343,99.58755207,99.51244895,95.93517465,99.58689202,98.92131552,99.07954905,99.0932141,99.71251458,99.37222301,99.51725641,99.41583453,99.55862509,99.49960833,99.61543143,99.59072678,99.11608357,99.55813286,99.6639847,99.46110031,99.6252661,99.66994197,99.57045118,99.35937567,99.64658091,99.03495051,99.38861635,99.02138003,99.58831016,99.5428947,99.57080524,95.38225006,99.62558971,99.63365167,99.67746933,99.57559583,99.65055687,99.51864685,99.66791149,99.71753938,99.493288,99.62928869,99.53924851,99.52135709,99.53682159,99.51007883,99.71703473,,,,,,,,,,,,
AL2-5,99.68794467,98.88586927,99.9366079,99.89642882,97.20574912,99.90052859,99.58891773,99.6523076,99.69542575,99.69647682,99.78644112,99.92664471,99.82342228,99.90396698,99.90011123,99.87049943,99.70769175,99.38759479,99.88206121,99.87716699,99.90978501,99.29839165,99.50351136,99.48335214,99.10538628,99.86974822,99.74561913,99.67951923,99.52862452,99.84346981,99.90877388,99.85937532,96.2333675,99.81512058,99.84555373,99.79967514,99.82984404,99.80467735,99.80737197,99.73208264,99.6707225,99.96530115,99.93925097,99.95416661,99.93775877,99.83977702,99.94166594,99.77397331,99.51778353,,,,,,,,,,,
AL2-6,99.68797939,98.86726248,99.91308332,99.8871718,97.27637595,99.87491076,99.60599041,99.64836167,99.71120963,99.62175986,99.77844463,99.92036466,99.80402632,99.89212874,99.87899854,99.83701219,99.65382049,99.314837,99.85679576,99.84514191,99.89068882,99.30816312,99.44733241,99.40537505,98.9913695,99.83199737,99.76499826,99.66364492,99.53575291,99.82004325,99.89383371,99.82951093,96.16228389,99.76428761,99.8144154,99.72707186,99.80675046,99.75312521,99.78322942,99.66785795,99.56170977,99.94883699,99.93104571,99.94523389,99.9325142,99.84191868,99.91606022,99.71374495,99.46058656,99.9678157,,,,,,,,,,
AL2-7,99.67369395,98.89733197,99.90641171,99.88167388,97.25730942,99.88128937,99.56545163,99.64351672,99.68413966,99.65613932,99.7665162,99.91176922,99.79182993,99.87884097,99.87090378,99.84037942,99.64760069,99.30503618,99.84402445,99.85516552,99.89740991,99.28233083,99.42755791,99.39735586,99.01097116,99.85993623,99.73802882,99.62185342,99.48257486,99.81012756,99.88233677,99.82919918,96.19871896,99.77974786,99.81377164,99.74723686,99.80765847,99.75594384,99.78871785,99.67366972,99.64590511,99.97662235,99.91867588,99.95986031,99.9405863,99.81070797,99.92871642,99.74885737,99.47761858,99.98557391,99.95704764,,,,,,,,,
AL2-8,99.47500937,98.67923304,99.2783664,99.37509931,97.84395341,99.26763934,99.41458658,99.47353497,99.44355421,98.7345958,99.38104475,99.38668415,99.30654767,99.30620927,99.38808417,99.15190092,98.67001195,98.79231449,99.16386933,99.11223752,99.39597286,98.29354378,98.37236222,98.38748552,97.7844564,99.14357679,99.55496427,98.96090722,99.12907612,99.14832368,99.28422969,99.22278135,96.84924733,99.07593854,99.11470617,98.86702208,99.15017997,98.98140911,99.23751832,98.76637227,98.63761034,99.37016294,99.21988315,99.34616219,99.36443072,99.03978712,99.26246874,98.74574624,98.26126943,99.39192308,99.3878891,99.40403508,,,,,,,,
AL2-9,99.64171598,98.92745126,99.87269084,99.86199236,97.31337341,99.8270653,99.51548188,99.62482251,99.63665621,99.63009058,99.73425201,99.86798377,99.73119119,99.81486148,99.84907131,99.75325862,99.50410811,99.15531568,99.7433053,99.78568595,99.82819095,99.2203171,99.33968657,99.29244292,98.86983176,99.83368685,99.68388155,99.46753619,99.34582622,99.73671319,99.81387648,99.77060687,96.19283241,99.72063812,99.74989535,99.65898881,99.7528714,99.68307283,99.75755445,99.59504372,99.63473528,99.96204068,99.86389986,99.9357064,99.90989121,99.688065,99.8545337,99.67613406,99.41719738,99.94773892,99.91488772,99.96420971,99.4290984,,,,,,,
AL2-10,99.57437205,98.84635892,99.82556337,99.81145061,97.19245723,99.79049562,99.42874415,99.54837615,99.54809055,99.60842153,99.68310191,99.82598919,99.67990569,99.77377674,99.8002406,99.68413284,99.47886011,99.12351159,99.68707946,99.72941243,99.76388529,99.18588088,99.35473301,99.30595414,98.87458222,99.76623588,99.59427035,99.44012477,99.28402223,99.68886872,99.77394746,99.72798428,96.06868447,99.69927929,99.71241078,99.63543265,99.70000695,99.65882078,99.70759623,99.57755464,99.58772726,99.88330149,99.7984725,99.88786871,99.83774328,99.68613342,99.79824865,99.60744263,99.42063275,99.8735832,99.85166066,99.86965314,99.34720575,99.927073,,,,,,
AL2-11,99.56487716,98.79657531,99.85834924,99.838654,96.84012159,99.86874086,99.39942308,99.53426055,99.56251149,99.82059647,99.72555757,99.83187785,99.74221778,99.83693027,99.80738125,99.85802215,99.66926549,99.37169001,99.79902825,99.8975388,99.80345898,99.27994366,99.63276886,99.54498049,99.19332476,99.87467564,99.5256695,99.58013577,99.3727998,99.81261161,99.80619743,99.82967661,96.17648234,99.82388624,99.8653539,99.80597566,99.85385934,99.82112226,99.83299235,99.7758738,99.78860864,99.84477725,99.88445287,99.84236803,99.88219526,99.74122933,99.80147841,99.83446776,99.63415484,99.8417304,99.8006768,99.83515671,99.06618771,99.81155659,99.78050302,,,,,
AL2-12,96.9204674,98.14163518,95.90772709,96.28763586,98.20179357,96.07150384,96.91573904,96.90177915,96.80151734,95.70872434,96.68315711,96.03633356,96.40301389,96.02725251,96.2466477,95.82983218,94.93768475,94.8106238,95.65548607,95.7857686,96.16681941,94.65137418,95.40302283,95.24353631,94.5889649,96.08593764,96.62225458,95.658703,96.47805367,95.92764734,95.86229549,96.12509362,99.47931374,95.74769911,95.96446915,95.33019102,96.14607779,95.69943764,96.41707873,95.38779504,95.63711413,95.86184211,95.69749485,95.75678422,96.02742489,95.13673057,95.53911903,95.28206673,94.87723334,95.82681989,95.76383026,95.8578429,96.63511869,95.955701,95.80111176,95.7548721,,,,
