,F1-1,F1-2,F1-3,F1-4,F1-5,F1-6,F1-7,F1-8,F1-9,F1-10,F1-11,F1-12,F1-13,F2-1,F2-2,F2-3,F2-4,F2-5,F2-6,F2-7,F2-8,F2-9,F2-10,F2-11,F2-12,F2-13,F2-14,F2-15,F3-1,F3-2,F3-3,F3-4,F3-5,F3-6,F3-7,F3-8,F3-9,F3-10,F3-11,F3-12,F3-13,F3-14,F3-15,F5-1,F5-2,F5-3,F5-4,F5-5,F5-6,F5-7,F5-8,F5-9,F5-10,F5-11,F5-12,F5-13,F5-14,F5-15,F6-1,F6-2,F6-3,F6-4,F6-5,F6-6,F6-7,F6-8,F6-9,F6-10,F6-11,F6-12,F6-13,F6-14,F6-15,D1-1,D1-2,D1-3,D1-4,D1-5,D1-6,D1-7,D1-8,D1-9,D1-10,D1-11,D1-12,D1-13,D1-14,D1-15,D1-16,D1-17,D1-18,D1-19,D1-20,D1-21,D1-22,D1-23,D1-24,D1-25,D1-26,D1-27,D1-28,D1-29,D1-30,D1-31,D1-32,D1-33,D1-34,D1-35,D1-36,D1-37,D1-38,D1-39,D1-40,D1-41,D1-42,D1-43,D1-44,D1-45,D1-46,D1-47,D1-48,D1-49,D1-50,D1-51,D1-52,D1-53,D1-54,D1-55,D1-56,D1-57,D1-58,D1-59,D1-60,D1-61,D1-62,D1-63,D1-64,D1-65,D1-66,D1-68,D1-70,D1-71,D1-72,D1-73,D1-74,D1-75,D1-76,D1-77,D1-78,D1-79,D1-80,AD6-26,AD6-27,AD6-28,AD6-29,AD6-30,AD6-31,AD6-32,AD6-33,AD6-34,AD6-35,AD6-36,AD6-37,AD6-38,AD6-39,AD6-40,AD6-41
F2-13,99.49584007,99.30437656,99.68451066,99.36299765,99.55411425,99.36534014,99.5495578,99.4079403,99.39728653,99.2941878,99.4303427,99.67493334,99.81185164,99.73332571,99.61828108,99.50605195,99.44399043,99.12647855,99.32110821,99.29512994,99.47254816,99.70806881,99.33766519,99.31279712,99.88406862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2-14,99.23772643,98.9817526,99.47252897,99.05668216,99.32036029,99.06541938,99.30125444,99.10593973,99.10489781,99.06417786,99.30871383,99.47498995,99.65501497,99.58122574,99.38518074,99.24522872,99.17920292,98.75837761,99.00633372,98.96732463,99.18100973,99.53466498,99.03462213,99.03029697,99.75511541,99.93397836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2-15,99.09401929,98.82921026,99.35949982,98.89499295,99.17964198,98.90635435,99.16245039,98.9637135,98.95944005,98.96957149,99.25630364,99.35336776,99.55786819,99.45858158,99.30516106,99.09998258,99.03291432,98.59484066,98.85575177,98.81134092,99.04273197,99.45286581,98.87495144,98.95109712,99.68633771,99.90446687,99.96989759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F3-1,87.35309247,87.47867914,87.82723032,87.29308988,87.40644169,87.31445498,87.65657044,87.21887576,87.20706723,86.87084189,87.81082242,87.47306579,88.1429788,87.65917768,89.16906632,87.22962449,87.73873259,87.42709972,87.2447257,87.12211008,87.54972647,88.98924133,87.12849298,87.00446447,88.07847854,88.53037047,88.45501204,88.67512003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F3-2,87.09143462,87.25230034,87.55220123,87.05863653,87.13042431,87.07579881,87.39959201,86.97413343,86.95817616,86.59400947,87.50345574,87.19354229,87.84008917,87.35538561,88.89786801,86.97015232,87.46673464,87.219771,86.99852754,86.88754415,87.30582313,88.68702477,86.88020335,86.74044737,87.76055622,88.179862,88.04907118,88.26993496,99.9653503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F3-3,83.66019274,83.89178783,84.15408744,83.657986,83.7134527,83.6800436,84.00881893,83.53920826,83.52181175,83.128756,84.17996852,83.7423533,84.47178693,83.92678977,85.74648129,83.50950801,84.13223701,83.9052183,83.58706135,83.463103,83.90260253,85.47208847,83.44266713,83.29049818,84.34395361,84.8283424,84.71018061,84.94847351,99.66735893,99.72083404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F3-4,84.95602401,85.26614978,85.23411233,85.00878255,84.93379864,85.03286798,85.24244167,84.92031024,84.885436,84.23858257,85.03779547,84.8649841,85.44842074,84.93565366,86.81887287,84.82889647,85.44380085,85.4163797,85.00058774,84.8909167,85.23414458,86.49313249,84.85170231,84.51983479,85.26406076,85.46674001,85.15536355,85.34149119,99.2972258,99.44397928,99.59639143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F3-5,86.70984136,86.96783171,87.0439477,86.73151223,86.7031534,86.75261784,86.99995937,86.64434892,86.62905777,86.10561961,86.81804763,86.69208071,87.27331521,86.78341987,88.46446855,86.58586844,87.13054002,87.03404814,86.70957979,86.59645857,86.96176715,88.19162352,86.57892998,86.32067518,87.12939324,87.35771683,87.09224908,87.29268014,99.71326306,99.8130674,99.67025581,99.83206787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F3-6,87.33705623,87.38185516,87.97224887,87.19622586,87.43429871,87.24058386,87.68825355,87.19847823,87.17170568,87.19011286,88.17629151,87.63570724,88.328053,87.84297786,89.12592436,87.24248835,87.59865647,87.21528798,87.13849541,87.02388414,87.54173486,88.96364421,87.03871415,87.31873076,88.37185815,89.00779533,89.04864697,89.35091558,99.64986826,99.56333688,99.06292628,98.32169889,98.99304609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F3-7,85.93221315,86.03013918,86.56517748,85.82291191,86.02843381,85.86967002,86.29519947,85.81516774,85.78418013,85.78175977,86.77376071,86.21137027,86.88274732,86.38850115,87.82980589,85.82520127,86.21000487,85.90307797,85.76967497,85.65690041,86.17073238,87.57472316,85.63924714,85.94398476,86.91213154,87.53687523,87.53894907,87.83608577,99.66084472,99.62581974,99.37290088,98.67681384,99.16733117,99.90020278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
