,F1-1,F1-2,F1-3,F1-4,F1-5,F1-6,F1-7,F1-8,F1-9,F1-10,F1-11,F1-12,F1-13,F2-1,F2-2,F2-3,F2-4,F2-5,F2-6,F2-7,F2-8,F2-9,F2-10,F2-11,F2-12,F2-13,F2-14,F2-15,F3-1,F3-2,F3-3,F3-4,F3-5,F3-6,F3-7,F3-8,F3-9,F3-10,F3-11,F3-12,F3-13,F3-14,F3-15,F5-1,F5-2,F5-3,F5-4,F5-5,F5-6,F5-7,F5-8,F5-9,F5-10,F5-11,F5-12,F5-13,F5-14,F5-15,F6-1,F6-2,F6-3,F6-4,F6-5,F6-6,F6-7,F6-8,F6-9,F6-10,F6-11,F6-12,F6-13,F6-14,F6-15,D1-1,D1-2,D1-3,D1-4,D1-5,D1-6,D1-7,D1-8,D1-9,D1-10,D1-11,D1-12,D1-13,D1-14,D1-15,D1-16,D1-17,D1-18,D1-19,D1-20,D1-21,D1-22,D1-23,D1-24,D1-25,D1-26,D1-27,D1-28,D1-29,D1-30,D1-31,D1-32,D1-33,D1-34,D1-35,D1-36,D1-37,D1-38,D1-39,D1-40,D1-41,D1-42,D1-43,D1-44,D1-45,D1-46,D1-47,D1-48,D1-49,D1-50,D1-51,D1-52,D1-53,D1-54,D1-55,D1-56,D1-57,D1-58,D1-59,D1-60,D1-61,D1-62,D1-63,D1-64,D1-65,D1-66,D1-68,D1-70,D1-71,D1-72,D1-73,D1-74,D1-75,D1-76,D1-77,D1-78,D1-79,D1-80,AD6-26,AD6-27,AD6-28,AD6-29,AD6-30,AD6-31,AD6-32,AD6-33,AD6-34,AD6-35,AD6-36,AD6-37,AD6-38,AD6-39,AD6-40,AD6-41
D1-42,98.51392133,98.2393383,98.78043825,98.29048803,98.60035504,98.32105889,98.60299338,98.45813542,98.41036795,98.60250491,98.87652703,98.80415795,98.94414672,98.84984366,98.62023265,98.57166395,98.35398988,98.01157769,98.27016656,98.23850843,98.50046848,98.67961735,98.30728021,98.72353407,99.14491534,99.37474648,99.41540566,99.48954423,87.46138749,87.08163371,83.68147412,84.30596275,86.16747107,88.52415986,87.07047733,86.73944853,87.88166696,86.48562847,84.06405084,86.288216,82.84294706,83.5686234,83.88073533,76.28675182,76.60419771,75.52908743,75.84366404,74.43034033,76.67666316,77.67453154,77.74908646,78.76621277,77.59346914,76.16343858,77.27036403,75.23036577,75.95130288,78.06041006,76.17183872,76.47054326,76.32428689,76.39982438,76.53648252,75.7456488,74.98442821,74.64560331,75.45984547,74.95858384,75.30421937,75.37747798,74.94951042,74.13232126,77.64636919,98.77678737,98.90402948,98.98456498,98.93429242,98.88078344,99.17189515,98.86365242,98.64391597,99.11436773,98.99365377,99.20495141,99.22655412,98.90484736,99.35252147,98.59696908,98.70000496,98.69955152,98.80025975,98.84094151,98.97863016,98.84048657,98.52912093,98.75862991,98.53690555,98.43340019,98.67826657,98.7093548,98.78051147,98.62071858,98.81820252,99.62865784,99.36771241,99.0143455,99.00327788,99.86272901,99.95866323,99.77188155,99.35652821,99.6764386,99.9472542,99.8110858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1-43,99.38600155,99.15853657,99.54387838,99.20670004,99.44832219,99.22358286,99.42962687,99.30386631,99.29684852,99.26617983,99.37185343,99.56245595,99.67762423,99.6093083,99.42753981,99.40979779,99.29463171,98.96946654,99.1980817,99.15529585,99.34101129,99.51282492,99.22083593,99.31602463,99.77983506,99.85645626,99.8253965,99.82908274,87.98317515,87.61328828,84.21564349,84.96969915,86.82264107,88.62607014,87.15043052,87.16339288,88.1993546,86.8313196,84.48536821,86.93634765,83.4932932,84.1467746,84.55614215,75.43305186,75.79748149,74.67119238,75.01247196,73.4380806,75.90549953,76.9863534,77.05859614,78.15333652,76.96652706,75.37896769,76.55031355,74.35282953,75.11285096,77.40176965,75.32790584,75.65899231,75.51994259,75.58277258,75.71704582,74.86673789,74.03609965,73.71400135,74.58204991,74.03640992,74.39483727,74.47833668,74.03525486,73.16252665,76.99803397,99.44174626,99.42941519,99.59533456,99.52410441,99.60936358,99.73075571,99.63531922,99.47527071,99.57886563,99.09806435,99.56340925,99.5390514,99.58319812,99.49706345,99.45745718,99.47795772,99.50648498,99.55323478,99.61162082,99.58116334,99.59601722,99.42274088,99.57487909,99.34042326,98.83235944,99.09029668,99.12125842,99.37712936,98.95061844,99.48166336,99.72183972,99.7306214,99.64372551,99.5911613,99.92619564,99.814765,99.9623105,99.6905603,99.89195134,99.8321532,99.42133287,99.73626546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1-44,97.41160249,97.08561287,97.79300384,97.13495176,97.54283364,97.17853281,97.53490493,97.34231475,97.288625,97.79431931,98.04660024,97.81378036,97.9950286,97.86939764,97.59411585,97.47124972,97.19862729,96.80665328,97.11251756,97.06680146,97.40096954,97.64544069,97.14192437,97.94839483,98.26772007,98.68339958,98.79584547,98.95657242,86.66630635,86.2336298,82.85012932,83.25768499,85.16789189,88.12615715,86.66196392,85.98948456,87.27908474,85.83387505,83.29073894,85.30311133,81.80173473,82.62508867,82.83352257,76.88221573,77.16297076,76.15289573,76.4598621,75.14529294,77.2014634,78.13249788,78.18157524,79.11210514,77.9611309,76.71397205,77.77787524,75.88584353,76.54785782,78.4656523,76.74200983,77.01533855,76.87362205,76.95190672,77.0865384,76.36245062,75.66446494,75.32922779,76.08507768,75.62988594,75.97647787,76.02598407,75.62147654,74.853708,78.15047334,97.96320285,98.21699127,98.21571699,98.18164861,98.00314469,98.41440553,97.88169758,97.67908755,98.48480088,98.71106544,98.67806115,98.73609616,98.06680254,99.01032313,97.54094744,97.7405412,97.73697526,97.87806947,97.90398621,98.20614624,97.91126945,97.45127088,97.76544554,97.6434952,97.91858529,98.16253821,98.1721424,98.06511348,98.15557241,98.03060263,99.16782344,98.64103873,98.07461663,98.13490031,99.3876564,99.69371912,99.18970203,98.61929359,99.09602929,99.68148491,99.81040844,99.7176456,99.17446655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1-45,97.62456552,97.3236411,97.96600017,97.35635942,97.74921134,97.40512313,97.74772457,97.5621017,97.51760985,97.78379979,98.17904624,97.99536368,98.16642223,98.05690638,97.79861987,97.67130653,97.44348616,97.05367849,97.36849121,97.31288221,97.61414713,97.84571476,97.36936564,97.95571529,98.41024765,98.78188478,98.85644527,98.99065047,86.93092238,86.497107,83.12164321,83.56485888,85.46394415,88.30120991,86.84391612,86.25977377,87.49868593,86.07366809,83.56139266,85.58999903,82.10846276,82.89727298,83.12904811,76.52614329,76.83639602,75.76729395,76.08876088,74.70353315,76.89992647,77.87582958,77.9493029,78.95080763,77.77695332,76.38802385,77.49514615,75.50116214,76.18651415,78.26645016,76.39695312,76.70587812,76.53577817,76.64194871,76.76590311,75.99422335,75.25408915,74.92569346,75.70535316,75.22875389,75.5872878,75.62849127,75.20348463,74.42256259,77.85728778,98.10433795,98.29622209,98.33345889,98.28810471,98.1424467,98.49829195,98.02184024,97.85425607,98.54453969,98.65827722,98.70547314,98.75198804,98.19909142,98.97980266,97.70815779,97.91102243,97.89399979,98.02366121,98.0456611,98.31677825,98.06797073,97.63463433,97.92202835,97.80567641,97.97219937,98.20884979,98.22007277,98.17773896,98.18434803,98.15430996,99.16794123,98.73003094,98.14952456,98.29959057,99.34232215,99.58180262,99.18738154,98.69253584,99.13803538,99.60461578,99.67768816,99.58642778,99.19258729,99.60261253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1-46,99.64012772,99.50439798,99.68525001,99.53509746,99.64353716,99.55153864,99.65369864,99.63264293,99.610179,99.44353581,99.27444801,99.70794009,99.68505976,99.68559533,99.43304665,99.67543823,99.51277239,99.36688769,99.53611492,99.53557244,99.63118344,99.46026001,99.56632267,99.53534368,99.73237583,99.56770433,99.36900662,99.31107918,86.89995794,86.61332271,83.06198988,84.13436293,86.01837696,87.39209652,85.93780943,86.17772676,86.98942035,85.71418068,83.4301935,86.05049357,82.67296669,83.19235268,83.77146754,73.1616132,73.51398244,72.43170437,72.71480928,71.22482139,73.61925434,74.67354755,74.76234532,75.8933613,74.67776955,73.10193942,74.23168653,72.07621944,72.851243,75.11682146,73.07726484,73.38465564,73.24687003,73.31630858,73.45075029,72.61639114,71.7957365,71.4853793,72.33415598,71.79429029,72.1043988,72.23736475,71.80162898,70.93272271,74.55723322,98.98582368,98.7962655,99.12737962,99.01128328,99.28832279,99.31721265,99.58307639,99.20470902,98.97379252,98.07697481,98.84461817,98.80824941,99.22993228,98.65071063,99.41641543,99.23545294,99.26738244,99.24201396,99.41314843,99.10588005,99.35511756,99.467547,99.47249288,98.9151212,97.86779911,98.19924973,98.23733308,98.76553974,97.9846979,98.98504992,99.55819165,99.70950811,99.7484478,99.76933066,99.66026868,99.33123635,99.75501101,99.84942722,99.80286847,99.34796674,98.65200292,99.27015932,99.69677392,98.47309988,98.54974787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1-47,99.29160557,99.13293198,99.39656746,99.14857142,99.32755799,99.17737582,99.32932263,99.29871212,99.26180429,99.31691982,99.07942048,99.4330737,99.42540044,99.38432421,99.19842044,99.32552871,99.13976743,98.98311825,99.17449917,99.15618997,99.30541126,99.16414319,99.18752017,99.45289017,99.52765382,99.45285573,99.31011893,99.32205827,86.95197418,86.63281105,83.13204398,84.21756693,86.02699649,87.68108627,86.26984192,86.3107934,87.15828275,85.86761977,83.56755134,86.03810631,82.73217998,83.25123429,83.78036341,73.74012743,74.06209872,73.03809881,73.32911554,71.96218925,74.15265974,75.13572341,75.22307748,76.31409215,75.10504227,73.63326941,74.74941241,72.71662217,73.42856791,75.55979881,73.63601111,73.92639474,73.77468942,73.86278875,74.02088382,73.22151244,72.48488239,72.1503336,72.9391256,72.45937802,72.75484068,72.87404987,72.44935461,71.6553306,75.04903656,98.80370165,98.68354446,98.97415894,98.86582114,99.03912894,99.16485851,99.26444154,98.89601824,98.90195121,98.25968362,98.86399093,98.85057704,99.04391572,98.82268909,99.07659157,98.96108582,98.96097937,98.9813488,99.10922429,98.95129752,99.09769353,99.09671599,99.14035358,98.62693491,97.81784208,98.17730812,98.1834644,98.61719979,97.98366782,98.76726142,99.80722624,99.76853535,99.58461699,99.66928597,99.86053829,99.67956019,99.86873959,99.90726845,99.95481907,99.68079842,99.15733867,99.6613582,99.78358318,99.139412,99.14587155,99.74019843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1-48,99.09701718,98.93032777,99.20966945,98.94584045,99.13095854,98.98621678,99.14038874,99.12663124,99.07166719,99.0055265,98.88920239,99.25524501,99.24438258,99.21557139,98.98271807,99.14805471,98.94382707,98.78164516,98.98458055,98.98048888,99.12915523,98.97035688,98.99652919,99.19578149,99.35752429,99.28643185,99.14195749,99.1675971,86.68736266,86.35865254,82.8227768,83.8831135,85.71831274,87.50450012,86.08044802,86.07768579,86.92277965,85.6570734,83.31145014,85.71627235,82.37946273,82.90994398,83.44139525,73.7162125,74.02504591,73.04367782,73.31754255,71.98495691,74.09254063,75.0578086,75.1291011,76.19449783,75.05264186,73.57537318,74.69101358,72.72246607,73.38270423,75.46872177,73.59494798,73.87968537,73.73522337,73.81882937,73.96932309,73.20312417,72.47209558,72.15834554,72.92352123,72.45910608,72.68038549,72.86812342,72.45373107,71.6808539,74.99147507,98.59064454,98.48439921,98.77093041,98.66515875,98.83300301,98.97879768,99.05952306,98.68013325,98.71387496,98.08540835,98.68534545,98.67066818,98.83723839,98.66003616,98.86677495,98.75338456,98.75082767,98.77236494,98.90849177,98.75506538,98.89113424,98.8711822,98.94172012,98.40175223,97.60329457,97.96833283,97.9808037,98.39969998,97.77605954,98.55646833,99.66921928,99.59404626,99.36570404,99.4803598,99.70925601,99.57518593,99.73821186,99.80381094,99.82596379,99.57234131,99.03492841,99.54165641,99.64564137,99.03558873,99.18514572,99.59317259,99.88600083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1-49,99.22378159,99.02427695,99.35910686,99.0612618,99.26521428,99.08219176,99.26919165,99.20437279,99.1688541,99.17467834,99.18529453,99.38390092,99.42899166,99.37310465,99.15961429,99.27261099,99.07737159,98.85719743,99.06885169,99.03953074,99.22366006,99.17847062,99.09930714,99.30750299,99.54893858,99.5551167,99.45041857,99.46272051,87.18612241,86.86575886,83.3856309,84.35744016,86.1800168,87.93839464,86.50937953,86.49997499,87.42755183,86.09837271,83.78130051,86.23189693,82.8712018,83.45710504,83.92455516,74.61276174,74.93819253,73.89131579,74.17759475,72.77606319,75.02845877,76.02677464,76.11304167,77.18410177,76.00034702,74.51005803,75.61756214,73.55574298,74.29026384,76.44520046,74.51215802,74.81049865,74.66293416,74.73983472,74.8836354,74.08426164,73.31727465,72.98626656,73.79868508,73.29144762,73.60254338,73.71291741,73.28769036,72.46387318,75.9391172,98.93444057,98.87373053,99.10500255,99.01497999,99.13883477,99.2993544,99.31920979,98.98534717,99.07328419,98.5516469,99.05687513,99.05016965,99.13428891,99.04761817,99.12191532,99.05068639,99.0590714,99.09222455,99.20003916,99.08735479,99.1750995,99.10842629,99.19742629,98.75573179,98.11838979,98.42720499,98.4510069,98.7913338,98.28026823,98.91872449,99.77008056,99.72562671,99.53958356,99.55942386,99.96058353,99.81615628,99.95117952,99.83260395,99.94066885,99.8004437,99.37654173,99.80564759,99.86342545,99.28454234,99.26369317,99.7321938,99.94392458,99.82048229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1-50,97.24491901,96.89810369,97.59059642,96.96632788,97.34133631,96.99019353,97.37143864,97.15177818,97.08367939,97.36807355,97.67185654,97.59442136,97.8455222,97.70733182,97.42955889,97.29372811,97.05470932,96.61210084,96.89737463,96.88453849,97.19937496,97.51125108,96.96589803,97.55973084,98.06650048,98.48963027,98.59823091,98.72526756,86.77854556,86.32993232,83.00011891,83.40754937,85.27474779,88.04795751,86.54810244,86.03782518,87.30254337,85.90497384,83.40186352,85.41920304,81.95111555,82.76325479,82.98071682,76.51082547,76.80520596,75.75845349,76.07338929,74.70016311,76.88069803,77.86170464,77.92498671,78.9243742,77.76959039,76.38480806,77.47949104,75.48843882,76.1783055,78.25019478,76.40441539,76.72278502,76.54558661,76.66038674,76.76890768,76.00113101,75.25522611,74.91068194,75.71194001,75.22197394,75.65561303,75.62862375,75.21030305,74.42146709,77.83752254,97.81017945,98.04756187,98.06642489,98.03121263,97.89058001,98.27941395,97.7688696,97.58239615,98.30523616,98.43259459,98.48663325,98.50675694,97.8955198,98.74918386,97.4374837,97.59741769,97.65313159,97.76023371,97.82564167,98.05057011,97.78584031,97.33330623,97.65936744,97.4891584,97.70213382,97.9687207,97.99189863,97.89540694,97.92026563,97.88561954,98.86235564,98.44235772,97.89626325,97.96133453,99.05160345,99.35850716,98.93423287,98.36161174,98.75835138,99.32002865,99.40426612,99.31163729,98.93187775,99.22123051,99.34460848,98.28317175,98.78757712,98.88517763,98.94065747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1-51,99.41423082,99.2250547,99.52614282,99.26376745,99.45541168,99.28355046,99.44423931,99.39305861,99.3620643,99.33271064,99.31213637,99.56095809,99.58512728,99.54603613,99.34442133,99.4525661,99.2816683,99.06776338,99.27032537,99.2471474,99.40387662,99.36232765,99.29478967,99.42684475,99.69097902,99.66151782,99.55010208,99.54253433,87.262184,86.93705211,83.45360591,84.42828877,86.2580755,87.9268584,86.49194396,86.54809843,87.45982365,86.13715247,83.81957159,86.31531469,82.93926517,83.51479256,83.99810656,74.48612939,74.82306455,73.76438681,74.06176867,72.6214178,74.92330041,75.93923055,76.02727736,77.11416685,75.9293405,74.40028123,75.52710028,73.42839033,74.16900913,76.3623724,74.38919169,74.6899407,74.55383682,74.6196197,74.76813644,73.94899506,73.17182953,72.84526118,73.67097669,73.15303454,73.46383117,73.57936168,73.15211908,72.31694718,75.87658263,99.10244053,99.01868917,99.2605642,99.17094019,99.31557019,99.43770198,99.49214614,99.18239489,99.20182686,98.59099293,99.16134482,99.14314182,99.30392141,99.09009842,99.29735027,99.2300977,99.23812397,99.26297485,99.3702068,99.24237536,99.35482109,99.30443495,99.3822454,98.95566453,98.2406749,98.54659341,98.57269689,98.95199188,98.3847967,99.09006173,99.81777487,99.83498288,99.68490781,99.70644304,99.93804452,99.75910487,99.96757486,99.8912611,99.97531129,99.76033313,99.26927154,99.72380516,99.90841587,99.12955798,99.14865484,99.80924982,99.94540575,99.82455484,99.97307127,98.84682823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1-52,99.13975949,98.91886584,99.28162333,98.96491112,99.17259678,98.9959044,99.17111086,99.13116925,99.07205468,99.05278677,99.23645526,99.3097422,99.35511863,99.31866756,99.12787002,99.19146242,99.01264349,98.77070063,98.97606426,98.96868748,99.14128729,99.19014937,99.0085071,99.16541069,99.50781834,99.53496178,99.44975734,99.47496758,87.37084924,87.02862024,83.58020622,84.48452233,86.31531968,88.09125628,86.64435557,86.63056426,87.61233957,86.26934541,83.93224519,86.39715987,83.02333573,83.59557997,84.07292156,75.06330441,75.41231503,74.30893507,74.62539996,73.15889803,75.50515537,76.53134401,76.62082647,77.72488944,76.50930141,74.97481223,76.1116932,73.98222394,74.74523632,76.96219624,74.96876657,75.26500082,75.12574771,75.19734081,75.34052001,74.51697823,73.72172886,73.38984778,74.23528376,73.70771572,74.0586666,74.15229608,73.71546257,72.86002198,76.43518537,98.9855763,98.95948468,99.14573135,99.06868765,99.16725619,99.3316339,99.28489042,99.01463842,99.13359277,98.65601739,99.11585417,99.11177171,99.15927738,99.10541233,99.07754259,99.06875478,99.0609557,99.11781369,99.18383056,99.1472009,99.19215191,99.04981894,99.19217966,98.82852235,98.28623493,98.54428171,98.58841126,98.86604926,98.43484718,98.99014435,99.67241003,99.61999557,99.48249015,99.44842991,99.82696198,99.73334998,99.83998423,99.67676031,99.82027135,99.72482025,99.32107588,99.70684792,99.79034558,99.16137704,99.12450934,99.64198601,99.77767335,99.64099358,99.85610774,98.8410222,99.84563917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1-53,99.47683707,99.30801838,99.52077213,99.34409421,99.48831671,99.36821217,99.47971495,99.47566666,99.42923044,99.2164828,99.33461031,99.55358696,99.58458773,99.54767101,99.43101771,99.51436012,99.40941573,99.20951107,99.36828988,99.35412122,99.47475344,99.48774441,99.39629246,99.32705608,99.66075328,99.57416765,99.42206349,99.40093554,87.54388633,87.22062296,83.80512826,84.88280443,86.64657756,87.96826831,86.54560524,86.77602073,87.64350088,86.33759414,84.10679325,86.70694636,83.40761288,83.90986019,84.45335406,74.02836209,74.39401209,73.29356909,73.61155164,72.09056195,74.51141888,75.56829426,75.66037733,76.81758588,75.60878037,73.96931881,75.14292622,72.94870485,73.71768972,76.01866331,73.93638664,74.25059771,74.11349241,74.18074312,74.3271543,73.4711177,72.66682809,72.33193644,73.19768285,72.65173971,73.02837963,73.09958046,72.65895839,71.78673857,75.51566128,99.11148758,98.98431717,99.23776612,99.14421289,99.3493121,99.41263267,99.5312119,99.26836119,99.124174,98.40983027,99.0449354,99.01225617,99.31130753,98.90900177,99.40741623,99.30555409,99.31479882,99.3341089,99.40529982,99.24649906,99.41124164,99.39448971,99.45717491,99.0297834,98.18762043,98.46810087,98.50667974,98.92076025,98.29639914,99.0970799,99.53620877,99.65531526,99.69763844,99.63278581,99.70045703,99.45515214,99.78196498,99.74095974,99.77908325,99.45007913,98.8911678,99.40207394,99.744756,98.66394551,98.71902357,99.66311371,99.71433499,99.57277786,99.74337811,98.39482337,99.792992,99.85758998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1-54,99.43926287,99.3015074,99.48837863,99.32663728,99.44733068,99.35246619,99.45805771,99.48228424,99.42218869,99.30926762,99.19090586,99.52680896,99.49162694,99.47113285,99.29191947,99.49612686,99.31233715,99.1967136,99.35335209,99.35503839,99.47264075,99.28384988,99.37743413,99.46909756,99.58215808,99.44258714,99.24131015,99.22044215,86.87846557,86.58979809,83.08021843,84.28344299,86.05794006,87.4663712,86.06145058,86.22256973,87.02420548,85.74236224,83.4886691,86.0763929,82.78907797,83.26476847,83.84847562,73.66230979,73.99673616,72.95465182,73.22063248,71.84925096,74.08701987,75.07694369,75.17925076,76.29147497,75.07995142,73.56089553,74.66740466,72.60545509,73.35128772,75.52467903,73.57257748,73.86284129,73.70890133,73.79882533,73.94318723,73.14347386,72.37378801,72.05169766,72.85753043,72.34987735,72.65259603,72.78435178,72.35362319,71.53027794,74.92447151,98.80441827,98.63881862,98.94843706,98.84619941,99.0658112,99.15840432,99.36652491,98.96205095,98.83013432,98.06856068,98.74310177,98.73124023,99.0518411,98.64690946,99.20274531,99.04703538,99.03092951,99.03768037,99.16791016,98.94363008,99.15637711,99.21970885,99.24245969,98.65775088,97.71258794,98.04807945,98.06870207,98.5646968,97.85812953,98.75297893,99.68977242,99.75657392,99.65574899,99.7040995,99.79841537,99.53999185,99.84879144,99.95158543,99.91306198,99.53175595,98.93727854,99.53230345,99.72769892,98.85556834,98.88371665,99.83007911,99.92645116,99.81705768,99.91292551,98.52321393,99.92694965,99.77300265,99.757405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1-55,99.824088,99.86730432,99.6598293,99.85885301,99.77165325,99.86282205,99.76475516,99.89462589,99.88056699,99.22122632,98.86213973,99.67876299,99.5281995,99.54477951,99.57013014,99.82294645,99.83099506,99.90248616,99.92021826,99.9199854,99.86052279,99.51542142,99.90272634,99.36184254,99.43630326,98.92702843,98.51399796,98.36190761,86.78019537,86.57379799,83.13765214,84.75842741,86.42552852,86.57786698,85.23041311,86.06860359,86.52583271,85.33065258,83.34149258,86.37274372,83.28946072,83.51260722,84.33537068,70.06080316,70.48639827,69.28653132,69.60594239,67.96001528,70.66423992,71.80772714,71.9564776,73.28194555,71.95094516,70.09346844,71.30072538,68.9174504,69.78850198,72.36060575,70.00763525,70.36167879,70.17316081,70.2976558,70.42823023,69.48199906,68.60255522,68.27999144,69.18490584,68.59200209,68.98565355,69.07951127,68.60284903,67.67815492,71.63445516,98.59661813,98.08621967,98.59645991,98.4562198,98.95435535,98.70998547,99.42612849,99.07087304,98.1633046,96.70035754,97.84817202,97.78104398,98.89079768,97.38792959,99.47208232,99.12156176,99.10141491,98.99629513,99.1542523,98.58647005,99.14862096,99.56548194,99.37638368,98.68593257,96.86666083,97.23629119,97.22152073,98.15739515,96.88500603,98.47962623,98.56845337,99.13248001,99.54212207,99.54143051,98.60195635,97.90472327,98.86398386,99.37580541,99.0565186,97.96025066,96.82298496,97.81699342,98.81457034,96.55633198,96.86891185,99.34051439,98.93197643,98.78089735,98.75915179,96.36771929,98.98058308,98.65329463,99.12425613,99.16978094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1-56,99.92264202,99.90791373,99.80611664,99.91715757,99.88775273,99.92176064,99.87962736,99.95294216,99.95388352,99.38242173,99.05806936,99.82627026,99.72426046,99.72325806,99.70261198,99.91664904,99.91615891,99.89983212,99.97220656,99.95644339,99.93952167,99.68320982,99.96576197,99.49276767,99.65281469,99.22569711,98.88378307,98.74398572,87.13174351,86.89385533,83.4555122,84.9239481,86.63347559,87.03787978,85.66184331,86.38569607,86.94406839,85.71948658,83.67082927,86.61158276,83.45959345,83.74852845,84.50867015,70.80133042,71.22558101,70.02826416,70.36222005,68.6959438,71.39401251,72.53759333,72.67282763,73.96371298,72.66365685,70.82609605,72.04444658,69.6642021,70.52116399,73.07039756,70.73892292,71.08655153,70.9153761,71.0226092,71.15981745,70.21760174,69.34152833,69.00672062,69.92214981,69.33284798,69.71842339,69.8147622,69.34068591,68.4134067,72.41061886,98.89267279,98.45754664,98.92110384,98.78010707,99.22488452,99.02769244,99.61705419,99.30932866,98.54041178,97.21063725,98.27060583,98.19685064,99.16160775,97.85402631,99.63565348,99.34463916,99.34076981,99.25238895,99.40062137,98.90523302,99.3915978,99.71126579,99.57073841,98.96566159,97.33457072,97.6864931,97.68966875,98.5154267,97.36421051,98.81014507,98.84265089,99.33895725,99.71244073,99.68148514,98.90794533,98.297238,99.15215147,99.53226633,99.30452657,98.35139022,97.30004662,98.19090359,99.12714397,97.01893452,97.30016125,99.5239782,99.16759912,99.00376166,99.03157921,96.83609,99.23546658,98.93901474,99.35020521,99.35106621,99.95176627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1-57,99.94581149,99.90899373,99.87818038,99.92621451,99.92717747,99.93258494,99.92114912,99.96962756,99.9652855,99.49340574,99.15331688,99.90111699,99.81188462,99.81905196,99.75465759,99.94869774,99.92164931,99.87318559,99.96729761,99.95227017,99.96524623,99.74722227,99.95886374,99.5864644,99.76901567,99.40790368,99.10582778,98.98147716,87.350307,87.09475682,83.65571101,85.01639062,86.75758637,87.36239106,85.97730143,86.60089282,87.2131309,85.97777145,83.88525617,86.7523453,83.55473685,83.89400338,84.60802531,71.35117398,71.77455808,70.57734592,70.9139294,69.25158927,71.93058197,73.07186097,73.19914774,74.47073295,73.17699233,71.36052324,72.58304989,70.21756217,71.06736979,73.59010499,71.28342904,71.62480187,71.46659621,71.55860107,71.69747072,70.76381948,69.88886103,69.55813618,70.4757812,69.8834012,70.26787339,70.37075737,69.89736226,68.96685397,72.9629676,99.05098718,98.6735629,99.09871099,98.96567794,99.36634455,99.21080186,99.70598612,99.41849971,98.76656036,97.53665227,98.52650758,98.46237735,99.30655471,98.15368408,99.68634318,99.44630938,99.44258306,99.37314556,99.51405889,99.08298549,99.50428541,99.75481729,99.65742981,99.1011556,97.6161067,97.95779646,97.96519202,98.71999989,97.65720801,98.99359928,99.06274452,99.49177043,99.79386571,99.76445241,99.11749786,98.5720555,99.33331667,99.64939848,99.47306339,98.63041183,97.6458185,98.47063706,99.32359572,97.37108412,97.62855365,99.64039696,99.33283135,99.17622275,99.21833772,97.1646118,99.40873633,99.13435888,99.47992461,99.48834119,99.89947987,99.97768708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
